policy,trial_id,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,weekly_drift,mean_seven_day_utilization,objective_score
reset_aware_weekly_priority,26,2,3,2114,2114,0,1439,1439,0,0,0.0013519854872584003,0.5152838740321501,0.9513931888544892
five_hour_first,27,4,17,5920,5435,485,3722,3329,5,1,0.0,1.0,0.7962549286927981
seven_day_first,27,4,17,5919,5435,484,3767,3404,13,13,0.0,1.0,0.9186698130271451
weighted_score,27,4,17,5932,5435,497,3704,3361,0,0,0.0,1.0,0.9182013412628945
reset_aware_weekly_priority,27,4,17,6185,5435,750,3951,3417,32,32,0.0,1.0,0.8813283048794786
five_hour_first,28,4,11,6769,5354,1415,5425,4265,198,4,0.0,1.0,0.6532452297121878
seven_day_first,28,4,11,6704,5354,1350,5439,4277,467,153,0.0,1.0,0.7047722950151364
weighted_score,28,4,11,6567,5354,1213,5212,4158,341,82,0.0,1.0,0.7062159677657045
reset_aware_weekly_priority,28,4,11,6686,5354,1332,5363,4256,398,95,0.0,1.0,0.6947448611933118
five_hour_first,29,5,13,11736,8124,3612,9052,6130,0,0,0.0,1.0,0.7038599294961987
seven_day_first,29,5,13,12010,8124,3886,9215,5990,0,0,0.0,1.0,0.6860121945765036
weighted_score,29,5,13,11740,8124,3616,9043,6118,0,0,0.0,1.0,0.703531578539859
reset_aware_weekly_priority,29,5,13,11319,8124,3195,8793,6254,0,0,0.0,1.0,0.7302237696666707
five_hour_first,30,6,11,6453,6453,0,4242,4242,0,0,0.024068362888928312,0.5911351205336745,0.9567066757644747
seven_day_first,30,6,11,6334,6334,0,4125,4125,0,0,0.0029656249255190555,0.5813243810601295,0.9578358756134611
weighted_score,30,6,11,6453,6453,0,4267,4267,0,0,0.026782005465313966,0.5931006128838884,0.9566318607418575
reset_aware_weekly_priority,30,6,11,6319,6319,0,4223,4223,0,0,0.0534867989307658,0.5821537881095048,0.952866698917874
five_hour_first,31,6,8,6537,6537,0,4786,4786,0,0,0.08935774046351712,0.7148145918540285,0.9625456851390511
