policy,trial_id,scenario_mode,reset_pattern,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,weekly_drift,mean_seven_day_utilization,objective_score
seven_day_first,33,focused,staggered_reset,2,15,24754,4424,20330,18144,2597,2631,354,0.0,1.0,0.08106863280353468
weighted_score,33,focused,staggered_reset,2,15,25002,4424,20578,18201,2599,2479,191,0.0,1.0,0.07111775848991553
reset_aware_weekly_priority,33,focused,staggered_reset,2,15,24499,4424,20075,18038,2650,2372,280,0.0,1.0,0.08083975475010241
reset_stagger_pressure,33,focused,staggered_reset,2,15,24454,4424,20030,18297,2641,2479,337,0.0,1.0,0.08311420625249727
five_hour_first,34,focused,same_reset,3,20,63945,4455,59490,49093,2335,6536,11,0.0,1.0,-0.03908838186509975
seven_day_first,34,focused,same_reset,3,20,64455,4455,60000,49838,2404,8113,514,0.0,1.0,-0.03005506973966446
weighted_score,34,focused,same_reset,3,20,64503,4455,60048,49786,2390,6759,220,0.0,1.0,-0.03476966657325853
reset_aware_weekly_priority,34,focused,same_reset,3,20,63996,4455,59541,49316,2374,6762,183,0.0,1.0,-0.03517630824233983
reset_stagger_pressure,34,focused,same_reset,3,20,63888,4455,59433,49185,2395,7015,411,0.0,1.0,-0.030226278908492304
five_hour_first,35,focused,same_reset,3,30,40174,4426,35748,27581,2366,4361,8,0.0,1.0,-0.0011593807914681842
seven_day_first,35,focused,same_reset,3,30,40170,4426,35744,27905,2394,5538,613,0.0,1.0,0.015178445532784884
weighted_score,35,focused,same_reset,3,30,40616,4426,36190,28399,2403,4891,254,0.0,1.0,0.005224015535394921
reset_aware_weekly_priority,35,focused,same_reset,3,30,40606,4426,36180,28464,2444,5190,314,0.0,1.0,0.006839924685395599
reset_stagger_pressure,35,focused,same_reset,3,30,40032,4426,35606,27925,2398,5212,601,0.0,1.0,0.016157927151113943
five_hour_first,36,focused,same_reset,2,11,29916,2494,27422,22990,1326,2287,3,0.0,1.0,-0.027027190751811453
seven_day_first,36,focused,same_reset,2,11,29258,2494,26764,22623,1346,2518,258,0.0,1.0,-0.010087265908506032
weighted_score,36,focused,same_reset,2,11,29236,2494,26742,22651,1352,2295,105,0.0,1.0,-0.01850112523673944
reset_aware_weekly_priority,36,focused,same_reset,2,11,29153,2494,26659,22387,1323,2430,163,0.0,1.0,-0.015280012333313608
reset_stagger_pressure,36,focused,same_reset,2,11,29643,2494,27149,22963,1320,2318,85,0.0,1.0,-0.021234450026641843
five_hour_first,37,focused,staggered_reset,3,23,53312,6306,47006,39716,3629,7877,7,0.0,1.0,0.005776107640126815
seven_day_first,37,focused,staggered_reset,3,23,52235,6306,45929,39606,3593,8523,836,0.0,1.0,0.021899330584463444
weighted_score,37,focused,staggered_reset,3,23,53351,6306,47045,40031,3618,8280,354,0.0,1.0,0.011746875120212386
reset_aware_weekly_priority,37,focused,staggered_reset,3,23,53638,6306,47332,40351,3632,8387,418,0.0,1.0,0.012274529038605458
reset_stagger_pressure,37,focused,staggered_reset,3,23,52562,6306,46256,39431,3577,8201,550,0.0,1.0,0.016719428195745678
five_hour_first,38,focused,same_reset,3,22,40167,5925,34242,30766,3673,2229,12,0.0,1.0,0.033910200380458944
seven_day_first,38,focused,same_reset,3,22,40288,5925,34363,30824,3673,4667,757,0.0,1.0,0.057066790331026324
weighted_score,38,focused,same_reset,3,22,40426,5925,34501,30892,3624,2607,321,0.0,1.0,0.05039235122380234
reset_aware_weekly_priority,38,focused,same_reset,3,22,40432,5925,34507,31063,3613,2827,285,0.0,1.0,0.04677968015334211
reset_stagger_pressure,38,focused,same_reset,3,22,40970,5925,35045,31422,3605,2562,272,0.0,1.0,0.04583980131128479
five_hour_first,39,focused,staggered_reset,2,18,29466,3360,26106,20866,1983,2759,9,0.0,1.0,0.004068864431587549
seven_day_first,39,focused,staggered_reset,2,18,28851,3360,25491,20449,1947,3120,411,0.0,1.0,0.025085039594467007
weighted_score,39,focused,staggered_reset,2,18,28565,3360,25205,20366,2022,2666,138,0.0,1.0,0.014923747009589539
reset_aware_weekly_priority,39,focused,staggered_reset,2,18,28675,3360,25315,20485,1940,2585,111,0.0,1.0,0.01213953401747539
reset_stagger_pressure,39,focused,staggered_reset,2,18,29128,3360,25768,20646,1960,2960,312,0.0,1.0,0.02029126915541496
five_hour_first,40,focused,staggered_reset,2,12,17592,3102,14490,12072,1663,1579,4,0.0,1.0,0.058250290525971055
seven_day_first,40,focused,staggered_reset,2,12,17690,3102,14588,12238,1708,1895,386,0.0,1.0,0.08819272668837519
weighted_score,40,focused,staggered_reset,2,12,17660,3102,14558,12231,1702,1752,136,0.0,1.0,0.06938831979246363
reset_aware_weekly_priority,40,focused,staggered_reset,2,12,17373,3102,14271,12060,1691,1712,211,0.0,1.0,0.07852809558240767
