policy,trial_id,scenario_mode,reset_pattern,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,peak_useful_five_hour,weekly_drift,mean_seven_day_utilization,objective_score
reset_near_expiry_reserve,11,focused,same_reset,2,18,34520,3683,30837,28138,2189,2663,72,0.04379251700680272,0.0,1.0,-0.0002612912171177373
five_hour_first,12,focused,staggered_reset,3,22,39459,5620,33839,31236,3240,3038,18,0.054761904761904755,0.0,1.0,0.02889515554662042
seven_day_first,12,focused,staggered_reset,3,22,40083,5620,34463,32036,3246,5882,976,0.04693877551020408,0.0,1.0,0.044748473128684574
weighted_score,12,focused,staggered_reset,3,22,40360,5620,34740,31929,3221,3517,353,0.05017006802721079,0.0,1.0,0.03666859314450985
reset_aware_weekly_priority,12,focused,staggered_reset,3,22,39814,5620,34194,31602,3233,3656,296,0.052210884353741306,0.0,1.0,0.036277326937250526
reset_stagger_pressure,12,focused,staggered_reset,3,22,39669,5620,34049,31703,3218,3406,363,0.04971655328798161,0.0,1.0,0.039032070837869776
reset_near_expiry_reserve,12,focused,staggered_reset,3,22,39831,5620,34211,31667,3113,3407,330,0.04909297052154167,0.0,1.0,0.03644887396433069
five_hour_first,13,focused,same_reset,3,18,30053,3490,26563,22118,1905,2028,12,0.03191609977324279,0.0,1.0,0.0036547861678081772
seven_day_first,13,focused,same_reset,3,18,29962,3490,26472,22264,1944,4083,627,0.031859410430839175,0.0,1.0,0.021938029257822123
weighted_score,13,focused,same_reset,3,18,30170,3490,26680,22232,1926,2512,259,0.031349206349206495,0.0,1.0,0.015098300978287654
reset_aware_weekly_priority,13,focused,same_reset,3,18,30695,3490,27205,22767,1925,2763,246,0.03492063492063518,0.0,1.0,0.012130567227444766
reset_stagger_pressure,13,focused,same_reset,3,18,30123,3490,26633,22213,1928,2351,176,0.031122448979591977,0.0,1.0,0.01183396408745846
reset_near_expiry_reserve,13,focused,same_reset,3,18,30674,3490,27184,22696,1917,2416,181,0.03015873015873027,0.0,1.0,0.009696556836146009
five_hour_first,14,focused,same_reset,3,31,90230,4921,85309,75364,2686,10627,14,0.013662131519274366,0.0,1.0,-0.05315005427559549
seven_day_first,14,focused,same_reset,3,31,89965,4921,85044,75282,2659,15849,807,0.01315192743764172,0.0,1.0,-0.0472759577157128
weighted_score,14,focused,same_reset,3,31,90394,4921,85473,75785,2717,11396,424,0.012981859410430839,0.0,1.0,-0.048950290047456324
reset_aware_weekly_priority,14,focused,same_reset,3,31,89431,4921,84510,74432,2708,12697,629,0.015022675736961422,0.0,1.0,-0.04662108958152611
reset_stagger_pressure,14,focused,same_reset,3,31,90287,4921,85366,75779,2713,11064,190,0.01315192743764172,0.0,1.0,-0.051302049663822125
reset_near_expiry_reserve,14,focused,same_reset,3,31,91108,4921,86187,76357,2693,11137,301,0.013265306122448976,0.0,1.0,-0.0505657970498008
five_hour_first,15,focused,staggered_reset,2,18,48330,4531,43799,39762,2627,4428,5,0.03732993197278912,0.0,1.0,-0.015945476182078533
seven_day_first,15,focused,staggered_reset,2,18,48427,4531,43896,39745,2539,5936,559,0.033503401360544215,0.0,1.0,-0.006164866961423238
weighted_score,15,focused,staggered_reset,2,18,47857,4531,43326,39413,2506,4709,221,0.03537414965986395,0.0,1.0,-0.01093314795631678
reset_aware_weekly_priority,15,focused,staggered_reset,2,18,48648,4531,44117,40217,2575,5362,327,0.03503401360544218,0.0,1.0,-0.0101222502372314
reset_stagger_pressure,15,focused,staggered_reset,2,18,49037,4531,44506,40588,2616,5625,607,0.036734693877551024,0.0,1.0,-0.004549589079023142
reset_near_expiry_reserve,15,focused,staggered_reset,2,18,48235,4531,43704,40060,2597,5509,451,0.03460884353741497,0.0,1.0,-0.006950051085135245
five_hour_first,16,focused,staggered_reset,3,31,51362,4880,46482,38969,2733,5226,26,0.023526077097505593,0.0,1.0,-0.015691648451242324
seven_day_first,16,focused,staggered_reset,3,31,51674,4880,46794,39018,2716,9937,1085,0.023185941043083816,0.0,1.0,-0.003753344418289367
weighted_score,16,focused,staggered_reset,3,31,51919,4880,47039,39233,2737,6249,604,0.023356009070294705,0.0,1.0,-0.0054601823212676315
reset_aware_weekly_priority,16,focused,staggered_reset,3,31,50771,4880,45891,38271,2725,7160,530,0.02624716553287982,0.0,1.0,-0.005963875653946349
reset_stagger_pressure,16,focused,staggered_reset,3,31,51475,4880,46595,38984,2727,6178,448,0.02409297052154189,0.0,1.0,-0.007679699337103524
reset_near_expiry_reserve,16,focused,staggered_reset,3,31,51688,4880,46808,39209,2701,5648,276,0.024603174603174557,0.0,1.0,-0.010997465451190458
